recall = 0.9673, cur_precision = 0.7153
recall = 1.0000, cur_precision = 0.6955
recall = 1.0000, cur_precision = 0.4407
recall = 0.9412, cur_precision = 0.5138
recall = 1.0000, cur_precision = 0.4414
recall = 0.9627, cur_precision = 0.7633
recall = 0.9563, cur_precision = 0.6731
recall = 1.0000, cur_precision = 0.0870
recall = 1.0000, cur_precision = 0.4211
recall = 1.0000, cur_precision = 0.3478
recall = 0.9721, cur_precision = 0.6591
recall = 0.9367, cur_precision = 0.5522
recall = 1.0000, cur_precision = 0.2308
recall = 1.0000, cur_precision = 0.4182
recall = 0.9054, cur_precision = 0.6907
recall = 0.9405, cur_precision = 0.7215
recall = 0.9432, cur_precision = 0.6194
recall = 0.9526, cur_precision = 0.6204
recall = 1.0000, cur_precision = 0.4103
recall = 1.0000, cur_precision = 0.5250
recall = 0.8829, cur_precision = 0.6950
[AVERAGE] recall = 0.969563, precision = 0.535308
QueryNum = 21, AvgQueryTime = 190.67ms, AvgQueryComm = 67626.77bytes
